,precipIntensity,precipProbability,temperature,windSpeed,label
1386,0.0,0.0,52.72,13.6,1
1387,0.0,0.0,51.79,13.74,1
1388,0.0,0.0,50.79,11.12,1
1389,0.002,0.11,49.67,9.15,1
1390,0.003,0.15,49.12,8.23,1
1391,0.0,0.0,48.63,6.45,1
1392,0.0,0.0,47.18,6.51,1
1393,0.0,0.0,47.92,5.45,1
1394,0.0,0.0,46.93,4.5,0
1395,0.0,0.0,46.82,6.25,0
1396,0.0,0.0,46.56,6.13,0
1397,0.0,0.0,47.26,7.21,0
1398,0.0,0.0,47.23,6.15,0
1399,0.0,0.0,46.7,5.57,0
1400,0.0,0.0,47.58,7.32,0
1401,0.0,0.0,46.91,7.63,0
1402,0.0,0.0,46.5,5.4,0
1403,0.0,0.0,46.14,5.6,0
1404,0.0,0.0,46.3,7.4,0
1405,0.0,0.0,46.22,9.94,0
1406,0.0,0.0,46.77,8.84,0
1407,0.0,0.0,49.22,9.52,0
1408,0.0,0.0,48.76,8.32,0
1409,0.0,0.0,49.13,7.77,0
1410,0.0,0.0,48.82,6.95,0
1411,0.0,0.0,48.15,5.85,0
1412,0.0,0.0,46.64,5.67,0
1413,0.0,0.0,44.9,4.37,0
1414,0.0,0.0,44.14,4.14,0
1415,0.0,0.0,43.46,4.27,0
